Timestamp,User ID,Purchase Amount,Commission,Track,Signup Date,Country,User UID
"november 21 2021, 05:35",52332163,49.99,10.00,embed,"december 26 2017, 08:49",DE,TS00TDL
"november 19 2021, 00:15",50374866,19.95,3.99,embed,"september 26 2017, 09:36",FR,92DJFS5
"november 18 2021, 05:36",51195324,99.99,20.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"november 17 2021, 01:24",51195324,159.99,32.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"november 15 2021, 13:48",52332163,79.99,16.00,embed,"december 26 2017, 08:49",DE,TS00TDL
"november 15 2021, 12:15",52332163,79.99,16.00,embed,"december 26 2017, 08:49",DE,TS00TDL
"november 11 2021, 08:18",52332163,62.99,12.60,embed,"december 26 2017, 08:49",DE,TS00TDL
"november 10 2021, 23:24",51195324,159.99,32.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"november 08 2021, 13:25",52332163,62.99,12.60,embed,"december 26 2017, 08:49",DE,TS00TDL
"november 08 2021, 09:48",52332163,62.99,12.60,embed,"december 26 2017, 08:49",DE,TS00TDL
"november 07 2021, 00:10",51195324,99.99,20.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"november 04 2021, 12:10",52332163,62.99,12.60,embed,"december 26 2017, 08:49",DE,TS00TDL
"november 04 2021, 07:50",51767978,99.99,20.00,embed,"november 29 2017, 20:52",US,0J43GML
"november 04 2021, 07:50",51767978,49.99,10.00,embed,"november 29 2017, 20:52",US,0J43GML
"november 02 2021, 13:40",51767978,159.99,32.00,embed,"november 29 2017, 20:52",US,0J43GML
"november 02 2021, 12:40",51767978,159.99,32.00,embed,"november 29 2017, 20:52",US,0J43GML
"november 02 2021, 02:40",51195324,99.99,20.00,embed,"november 03 2017, 13:46",US,DJTYEBL
